onset	duration	parametric loss	distance from indifference	parametric gain	gain	loss	PTval	respnum	respcat	response_time
0.0	3	0.1273	-0.0814	-0.139	20	15	-1.25	4	0	1.045
4.0	3	-0.0227	-0.4147	-0.189	18	12	1.0	3	0	0.919
8.0	3	0.1273	0.2519	-0.389	10	15	-11.25	4	0	0.688
18.0	3	0.1773	-0.0814	0.211	34	16	11.33	2	1	1.034
24.0	3	-0.3727	-0.0814	-0.189	18	5	10.92	1	1	0.9059999999999999
28.0	3	0.0273	-0.4147	0.011	26	13	7.58	2	1	1.178
38.0	3	0.2273	-0.0814	0.161	32	17	7.92	3	0	1.069
42.0	3	-0.3727	-0.4147	-0.239	16	5	8.92	1	1	0.8079999999999999
46.0	3	-0.2727	-0.0814	-0.089	22	7	12.08	2	1	0.8
52.0	3	-0.2227	0.5853	0.261	36	8	24.67	2	1	0.987
56.0	3	-0.1227	-0.0814	-0.239	16	10	1.83	4	0	0.831
62.0	3	0.0273	-0.4147	0.111	30	13	11.58	2	1	1.087
74.0	3	0.2273	0.5853	-0.289	14	17	-10.08	4	0	0.893
78.0	3	0.3273	-0.0814	0.061	28	19	1.08	4	0	1.351
82.0	3	0.3773	0.5853	-0.289	14	20	-14.33	4	0	0.9279999999999999
86.0	3	0.1773	-0.4147	0.011	26	16	3.33	4	0	0.9229999999999999
90.0	3	-0.3727	0.5853	0.361	40	5	32.92	1	1	0.9309999999999999
94.0	3	-0.0227	-0.0814	0.061	28	12	11.0	3	0	1.109
98.0	3	0.1773	-0.0814	-0.139	20	16	-2.67	4	0	0.92
102.0	3	-0.3727	0.2519	0.011	26	5	18.92	1	1	0.9209999999999999
106.0	3	0.3773	-0.0814	0.161	32	20	3.67	2	1	1.056
110.0	3	0.2273	0.2519	-0.189	18	17	-6.08	3	0	0.912
116.0	3	-0.3227	-0.0814	-0.139	20	6	11.5	1	1	0.912
120.0	3	0.2773	0.2519	-0.139	20	18	-5.5	4	0	1.125
126.0	3	-0.2727	0.5853	0.361	40	7	30.08	1	1	0.8370000000000001
130.0	3	-0.3227	0.5853	0.261	36	6	27.5	1	1	0.737
134.0	3	0.3773	0.5853	-0.239	16	20	-12.33	4	0	0.784
140.0	3	0.1273	-0.0814	0.361	40	15	18.75	1	1	1.115
148.0	3	-0.3227	-0.4147	-0.389	10	6	1.5	4	0	0.996
156.0	3	0.1273	0.2519	-0.339	12	15	-9.25	4	0	1.061
160.0	3	0.2273	-0.4147	0.211	34	17	9.92	1	1	0.9520000000000001
164.0	3	0.0773	-0.0814	-0.189	18	14	-1.83	4	0	0.8490000000000001
170.0	3	0.0273	-0.0814	0.361	40	13	21.58	1	1	1.056
174.0	3	0.3273	-0.0814	0.161	32	19	5.08	2	1	1.294
178.0	3	-0.0227	-0.0814	-0.289	14	12	-3.0	4	0	0.865
182.0	3	-0.1227	-0.0814	0.161	32	10	17.83	2	1	1.226
192.0	3	0.2273	-0.4147	0.261	36	17	11.92	2	1	0.982
202.0	3	0.0273	-0.4147	0.061	28	13	9.58	3	0	1.401
208.0	3	0.0273	-0.0814	0.211	34	13	15.58	2	1	0.94
212.0	3	0.0773	-0.0814	0.311	38	14	18.17	2	1	1.097
220.0	3	-0.0727	-0.0814	0.161	32	11	16.42	2	1	0.889
224.0	3	-0.1727	-0.0814	0.161	32	9	19.25	1	1	0.882
234.0	3	0.1773	-0.4147	0.111	30	16	7.33	2	1	0.948
238.0	3	-0.1227	0.2519	0.211	34	10	19.83	2	1	1.274
246.0	3	-0.2227	-0.0814	-0.189	18	8	6.67	4	0	1.3869999999999998
250.0	3	0.3773	-0.4147	0.211	34	20	5.67	4	0	0.9129999999999999
256.0	3	0.1773	-0.4147	0.161	32	16	9.33	3	0	1.135
260.0	3	-0.0227	-0.4147	-0.039	24	12	7.0	3	0	1.226
266.0	3	-0.0227	0.2519	0.311	38	12	21.0	1	1	1.15
272.0	3	-0.1227	0.2519	0.311	38	10	23.83	2	1	0.773
280.0	3	-0.2727	-0.0814	-0.039	24	7	14.08	1	1	0.845
284.0	3	0.0273	0.2519	-0.239	16	13	-2.42	4	0	1.0390000000000001
296.0	3	0.3273	-0.4147	0.261	36	19	9.08	2	1	1.195
310.0	3	-0.3727	0.2519	0.161	32	5	24.92	1	1	0.8640000000000001
316.0	3	-0.1727	0.2519	0.211	34	9	21.25	2	1	0.797
320.0	3	-0.2727	0.2519	0.061	28	7	18.08	1	1	1.075
324.0	3	0.0273	-0.0814	-0.039	24	13	5.58	3	0	1.679
330.0	3	-0.3727	0.5853	0.311	38	5	30.92	1	1	0.922
336.0	3	-0.1727	-0.4147	-0.089	22	9	9.25	3	0	1.109
342.0	3	-0.0727	-0.0814	-0.389	10	11	-5.58	4	0	0.8240000000000001
346.0	3	0.0773	0.2519	-0.339	12	14	-7.83	3	0	1.082
350.0	3	0.3273	-0.4147	0.211	34	19	7.08	3	0	1.24
360.0	3	-0.2727	0.5853	0.311	38	7	28.08	1	1	0.736
364.0	3	-0.3227	0.2519	0.111	30	6	21.5	2	1	0.904
368.0	3	0.2773	-0.0814	0.011	26	18	0.5	3	0	0.88
374.0	3	-0.3227	-0.4147	-0.289	14	6	5.5	4	0	1.15
378.0	3	-0.0227	-0.0814	-0.239	16	12	-1.0	3	0	0.9790000000000001
382.0	3	0.3773	0.2519	-0.089	22	20	-6.33	4	0	0.915
386.0	3	0.2273	0.5853	-0.339	12	17	-12.08	4	0	0.7440000000000001
398.0	3	-0.2727	-0.4147	-0.389	10	7	0.08	4	0	1.037
402.0	3	0.3773	0.2519	-0.189	18	20	-10.33	4	0	0.868
408.0	3	-0.3227	-0.4147	-0.339	12	6	3.5	3	0	1.382
412.0	3	-0.3227	0.2519	0.161	32	6	23.5	1	1	0.9079999999999999
416.0	3	-0.2727	-0.0814	-0.189	18	7	8.08	3	0	1.123
420.0	3	-0.1227	0.2519	0.361	40	10	25.83	2	1	0.888
424.0	3	0.0773	0.2519	-0.289	14	14	-5.83	4	0	0.94
428.0	3	0.3273	-0.0814	0.111	30	19	3.08	2	1	0.993
436.0	3	0.2773	0.2519	-0.039	24	18	-1.5	3	0	1.031
440.0	3	-0.0227	-0.0814	-0.389	10	12	-7.0	4	0	0.764
444.0	3	0.3273	-0.4147	0.361	40	19	13.08	2	1	1.085
448.0	3	-0.1727	-0.4147	-0.039	24	9	11.25	1	1	0.9359999999999999
458.0	3	0.2773	0.5853	-0.239	16	18	-9.5	4	0	0.852
462.0	3	-0.0227	0.2519	0.261	36	12	19.0	2	1	1.137
466.0	3	-0.1727	-0.0814	0.011	26	9	13.25	2	1	1.028
470.0	3	-0.0227	-0.4147	-0.139	20	12	3.0	4	0	1.079
474.0	3	0.0773	-0.0814	-0.039	24	14	4.17	4	0	1.27
