onset	duration	parametric loss	distance from indifference	parametric gain	gain	loss	PTval	respnum	respcat	response_time
0.0	3	-0.3706	-0.0818	-0.1194	20	5	12.92	1	1	0.883
4.0	3	0.2294	0.2515	-0.0694	22	17	-2.08	4	0	1.0390000000000001
8.0	3	0.1794	0.2515	-0.3694	10	16	-12.67	4	0	0.809
12.0	3	0.2794	-0.4152	0.3306	38	18	12.5	2	1	0.991
16.0	3	0.0794	-0.0818	-0.1194	20	14	0.17	4	0	0.8390000000000001
24.0	3	0.0294	0.2515	-0.2694	14	13	-4.42	4	0	0.9640000000000001
28.0	3	-0.2206	0.5848	0.3806	40	8	28.67	1	1	0.9670000000000001
32.0	3	0.2794	-0.0818	0.1806	32	18	6.5	3	0	1.214
36.0	3	-0.2206	-0.0818	-0.0194	24	8	12.67	1	1	0.705
40.0	3	0.0794	-0.0818	0.2806	36	14	16.17	3	0	1.078
44.0	3	-0.3206	0.2515	0.0806	28	6	19.5	1	1	1.073
48.0	3	0.0794	0.2515	-0.2194	16	14	-3.83	4	0	0.894
56.0	3	-0.1706	-0.0818	-0.2694	14	9	1.25	3	0	0.9940000000000001
60.0	3	0.0294	-0.0818	-0.1194	20	13	1.58	4	0	0.919
64.0	3	0.2794	-0.0818	0.1306	30	18	4.5	2	1	1.46
72.0	3	0.1294	0.2515	-0.2694	14	15	-7.25	4	0	0.8420000000000001
76.0	3	-0.0206	-0.0818	-0.3194	12	12	-5.0	4	0	0.8390000000000001
84.0	3	-0.0706	-0.4152	-0.0194	24	11	8.42	2	1	1.446
88.0	3	-0.1206	-0.0818	-0.3194	12	10	-2.17	3	0	0.847
94.0	3	-0.3206	-0.4152	-0.2194	16	6	7.5	2	1	1.058
98.0	3	0.3794	-0.4152	0.3306	38	20	9.67	3	0	1.1909999999999998
102.0	3	-0.1206	-0.0818	0.0806	28	10	13.83	3	0	0.89
106.0	3	-0.2706	-0.0818	-0.1194	20	7	10.08	1	1	0.711
110.0	3	-0.1706	0.2515	0.3306	38	9	25.25	2	1	0.8079999999999999
120.0	3	-0.0206	-0.0818	0.0306	26	12	9.0	2	1	1.031
132.0	3	0.0794	0.2515	-0.3694	10	14	-9.83	4	0	0.987
136.0	3	0.0294	0.2515	-0.3194	12	13	-6.42	4	0	0.735
146.0	3	0.1294	-0.0818	-0.0194	24	15	2.75	3	0	1.177
150.0	3	0.1294	-0.4152	0.1806	32	15	10.75	3	0	1.199
154.0	3	0.1294	-0.0818	0.2806	36	15	14.75	2	1	1.001
162.0	3	0.2794	-0.4152	0.2806	36	18	10.5	2	1	1.875
166.0	3	0.2794	0.5848	-0.3194	12	18	-13.5	4	0	1.08
176.0	3	-0.1706	-0.4152	-0.1194	20	9	7.25	1	1	1.083
180.0	3	-0.2206	-0.4152	-0.2194	16	8	4.67	3	0	1.338
184.0	3	0.3794	0.5848	-0.3194	12	20	-16.33	4	0	0.8959999999999999
194.0	3	0.3294	0.2515	-0.0694	22	19	-4.92	4	0	0.9440000000000001
200.0	3	-0.1706	0.2515	0.2806	36	9	23.25	1	1	0.987
204.0	3	-0.3206	0.2515	0.0306	26	6	17.5	2	1	1.193
208.0	3	-0.3706	0.2515	0.1306	30	5	22.92	1	1	1.392
212.0	3	-0.2706	0.5848	0.2806	36	7	26.08	1	1	0.848
216.0	3	-0.1206	-0.4152	-0.1694	18	10	3.83	3	0	1.1420000000000001
220.0	3	-0.1706	-0.0818	0.1306	30	9	17.25	1	1	0.833
226.0	3	-0.0206	-0.0818	0.1306	30	12	13.0	2	1	0.924
236.0	3	-0.2206	-0.4152	-0.2694	14	8	2.67	4	0	0.963
240.0	3	0.3294	0.2515	-0.1194	20	19	-6.92	3	0	1.065
244.0	3	0.0794	-0.4152	0.0806	28	14	8.17	2	1	1.24
250.0	3	0.2294	0.5848	-0.2194	16	17	-8.08	4	0	0.847
258.0	3	-0.2206	0.2515	0.0306	26	8	14.67	1	1	1.008
262.0	3	0.2294	0.5848	-0.3694	10	17	-14.08	4	0	0.802
274.0	3	-0.3706	-0.4152	-0.3194	12	5	4.92	2	1	1.244
282.0	3	-0.3206	0.5848	0.3806	40	6	31.5	1	1	0.903
286.0	3	0.0294	-0.0818	0.2806	36	13	17.58	2	1	1.496
294.0	3	-0.1706	-0.0818	-0.3694	10	9	-2.75	4	0	0.9890000000000001
298.0	3	0.2794	-0.4152	0.2306	34	18	8.5	2	1	1.2409999999999999
304.0	3	0.1294	-0.4152	0.1306	30	15	8.75	2	1	1.052
316.0	3	-0.1706	-0.4152	-0.1694	18	9	5.25	2	1	1.14
322.0	3	0.3794	-0.0818	0.0306	26	20	-2.33	4	0	0.937
326.0	3	0.3794	-0.4152	0.2806	36	20	7.67	3	0	1.018
330.0	3	0.1294	-0.0818	-0.0694	22	15	0.75	4	0	0.8759999999999999
334.0	3	-0.2206	0.5848	0.3306	38	8	26.67	2	1	0.9890000000000001
342.0	3	0.1794	-0.4152	0.0806	28	16	5.33	2	1	1.213
348.0	3	-0.0206	0.2515	0.2306	34	12	17.0	1	1	1.08
358.0	3	0.1294	-0.4152	0.0806	28	15	6.75	2	1	1.061
364.0	3	0.2294	0.2515	-0.0194	24	17	-0.08	3	0	1.023
368.0	3	-0.0706	-0.0818	0.0806	28	11	12.42	3	0	1.258
372.0	3	-0.1706	-0.0818	-0.2194	16	9	3.25	3	0	1.229
378.0	3	0.0294	-0.0818	-0.0694	22	13	3.58	3	0	1.047
384.0	3	-0.0706	0.2515	0.3806	40	11	24.42	1	1	0.97
390.0	3	-0.2206	0.2515	0.0806	28	8	16.67	1	1	0.826
396.0	3	0.1794	-0.0818	0.2806	36	16	13.33	2	1	1.254
400.0	3	-0.1206	-0.4152	-0.1194	20	10	5.83	2	1	1.146
404.0	3	0.2794	0.5848	-0.3694	10	18	-15.5	4	0	0.866
408.0	3	-0.1706	0.2515	0.3806	40	9	27.25	1	1	1.054
412.0	3	-0.2706	0.2515	0.1806	32	7	22.08	1	1	1.043
422.0	3	0.1794	-0.0818	0.3806	40	16	17.33	1	1	0.982
426.0	3	0.2294	-0.0818	0.1306	30	17	5.92	3	0	1.099
432.0	3	-0.3706	-0.0818	-0.0194	24	5	16.92	1	1	0.851
436.0	3	-0.2706	-0.4152	-0.2194	16	7	6.08	4	0	1.371
440.0	3	0.2794	0.2515	-0.0694	22	18	-3.5	3	0	1.091
444.0	3	0.3294	-0.0818	0.0306	26	19	-0.92	4	0	1.038
448.0	3	0.3794	0.2515	-0.0194	24	20	-4.33	4	0	1.155
452.0	3	-0.3206	0.5848	0.2306	34	6	25.5	1	1	1.198
460.0	3	0.1794	-0.0818	-0.0194	24	16	1.33	4	0	0.91
468.0	3	-0.3206	-0.0818	-0.0694	22	6	13.5	2	1	0.955
474.0	3	-0.2706	-0.4152	-0.3194	12	7	2.08	4	0	1.109
