onset	duration	parametric loss	distance from indifference	parametric gain	gain	loss	PTval	respnum	respcat	response_time
0.0	3	-0.3706	-0.0827	-0.1194	20	5	10.17	3	0	2.0069999999999997
4.0	3	0.2294	0.2506	-0.0694	22	17	-11.43	4	0	1.849
8.0	3	0.1794	0.2506	-0.3694	10	16	-21.47	4	0	1.985
12.0	3	0.2794	-0.416	0.3306	38	18	2.6	3	0	1.435
16.0	3	0.0794	-0.0827	-0.1194	20	14	-7.53	3	0	1.278
24.0	3	0.0294	0.2506	-0.2694	14	13	-11.57	4	0	1.807
28.0	3	-0.2206	0.584	0.3806	40	8	24.27	1	1	1.45
32.0	3	0.2794	-0.0827	0.1806	32	18	-3.4	0	-1	0.0
36.0	3	-0.2206	-0.0827	-0.0194	24	8	8.27	3	0	1.385
40.0	3	0.0794	-0.0827	0.2806	36	14	8.47	3	0	1.062
44.0	3	-0.3206	0.2506	0.0806	28	6	16.2	2	1	1.482
48.0	3	0.0794	0.2506	-0.2194	16	14	-11.53	4	0	1.578
56.0	3	-0.1706	-0.0827	-0.2694	14	9	-3.7	3	0	1.367
60.0	3	0.0294	-0.0827	-0.1194	20	13	-5.57	3	0	1.162
64.0	3	0.2794	-0.0827	0.1306	30	18	-5.4	3	0	1.31
72.0	3	0.1294	0.2506	-0.2694	14	15	-15.5	4	0	1.1059999999999999
76.0	3	-0.0206	-0.0827	-0.3194	12	12	-11.6	4	0	1.002
84.0	3	-0.0706	-0.416	-0.0194	24	11	2.37	3	0	1.288
88.0	3	-0.1206	-0.0827	-0.3194	12	10	-7.67	4	0	1.3219999999999998
94.0	3	-0.3206	-0.416	-0.2194	16	6	4.2	3	0	1.6740000000000002
98.0	3	0.3794	-0.416	0.3306	38	20	-1.33	3	0	1.117
102.0	3	-0.1206	-0.0827	0.0806	28	10	8.33	3	0	1.514
106.0	3	-0.2706	-0.0827	-0.1194	20	7	6.23	3	0	1.409
110.0	3	-0.1706	0.2506	0.3306	38	9	20.3	1	1	1.5290000000000001
120.0	3	-0.0206	-0.0827	0.0306	26	12	2.4	3	0	1.057
132.0	3	0.0794	0.2506	-0.3694	10	14	-17.53	4	0	1.568
136.0	3	0.0294	0.2506	-0.3194	12	13	-13.57	4	0	1.067
146.0	3	0.1294	-0.0827	-0.0194	24	15	-5.5	3	0	1.248
150.0	3	0.1294	-0.416	0.1806	32	15	2.5	3	0	1.179
154.0	3	0.1294	-0.0827	0.2806	36	15	6.5	3	0	1.2109999999999999
162.0	3	0.2794	-0.416	0.2806	36	18	0.6	3	0	1.4880000000000002
166.0	3	0.2794	0.584	-0.3194	12	18	-23.4	4	0	1.611
176.0	3	-0.1706	-0.416	-0.1194	20	9	2.3	3	0	2.185
180.0	3	-0.2206	-0.416	-0.2194	16	8	0.27	3	0	1.86
184.0	3	0.3794	0.584	-0.3194	12	20	-27.33	4	0	2.019
194.0	3	0.3294	0.2506	-0.0694	22	19	-15.37	4	0	1.865
200.0	3	-0.1706	0.2506	0.2806	36	9	18.3	1	1	1.5859999999999999
204.0	3	-0.3206	0.2506	0.0306	26	6	14.2	1	1	1.42
208.0	3	-0.3706	0.2506	0.1306	30	5	20.17	3	0	2.6060000000000003
212.0	3	-0.2706	0.584	0.2806	36	7	22.23	1	1	1.3159999999999998
216.0	3	-0.1206	-0.416	-0.1694	18	10	-1.67	4	0	2.483
220.0	3	-0.1706	-0.0827	0.1306	30	9	12.3	2	1	1.5959999999999999
226.0	3	-0.0206	-0.0827	0.1306	30	12	6.4	2	1	2.444
236.0	3	-0.2206	-0.416	-0.2694	14	8	-1.73	3	0	1.7209999999999999
240.0	3	0.3294	0.2506	-0.1194	20	19	-17.37	4	0	2.092
244.0	3	0.0794	-0.416	0.0806	28	14	0.47	3	0	1.268
250.0	3	0.2294	0.584	-0.2194	16	17	-17.43	4	0	1.29
258.0	3	-0.2206	0.2506	0.0306	26	8	10.27	2	1	1.841
262.0	3	0.2294	0.584	-0.3694	10	17	-23.43	4	0	3.333
274.0	3	-0.3706	-0.416	-0.3194	12	5	2.17	3	0	1.2819999999999998
282.0	3	-0.3206	0.584	0.3806	40	6	28.2	1	1	1.218
286.0	3	0.0294	-0.0827	0.2806	36	13	10.43	3	0	1.285
294.0	3	-0.1706	-0.0827	-0.3694	10	9	-7.7	4	0	1.09
298.0	3	0.2794	-0.416	0.2306	34	18	-1.4	4	0	1.453
304.0	3	0.1294	-0.416	0.1306	30	15	0.5	3	0	2.181
316.0	3	-0.1706	-0.416	-0.1694	18	9	0.3	3	0	1.178
322.0	3	0.3794	-0.0827	0.0306	26	20	-13.33	3	0	1.207
326.0	3	0.3794	-0.416	0.2806	36	20	-3.33	3	0	1.469
330.0	3	0.1294	-0.0827	-0.0694	22	15	-7.5	3	0	1.7109999999999999
334.0	3	-0.2206	0.584	0.3306	38	8	22.27	1	1	1.228
342.0	3	0.1794	-0.416	0.0806	28	16	-3.47	3	0	1.395
348.0	3	-0.0206	0.2506	0.2306	34	12	10.4	3	0	1.675
358.0	3	0.1294	-0.416	0.0806	28	15	-1.5	3	0	1.636
364.0	3	0.2294	0.2506	-0.0194	24	17	-9.43	3	0	0.8759999999999999
368.0	3	-0.0706	-0.0827	0.0806	28	11	6.37	3	0	1.261
372.0	3	-0.1706	-0.0827	-0.2194	16	9	-1.7	3	0	1.067
378.0	3	0.0294	-0.0827	-0.0694	22	13	-3.57	3	0	1.7
384.0	3	-0.0706	0.2506	0.3806	40	11	18.37	2	1	1.423
390.0	3	-0.2206	0.2506	0.0806	28	8	12.27	2	1	2.627
396.0	3	0.1794	-0.0827	0.2806	36	16	4.53	3	0	0.9890000000000001
400.0	3	-0.1206	-0.416	-0.1194	20	10	0.33	3	0	1.526
404.0	3	0.2794	0.584	-0.3694	10	18	-25.4	4	0	1.4380000000000002
408.0	3	-0.1706	0.2506	0.3806	40	9	22.3	1	1	1.34
412.0	3	-0.2706	0.2506	0.1806	32	7	18.23	0	-1	0.0
422.0	3	0.1794	-0.0827	0.3806	40	16	8.53	3	0	1.599
426.0	3	0.2294	-0.0827	0.1306	30	17	-3.43	3	0	1.3259999999999998
432.0	3	-0.3706	-0.0827	-0.0194	24	5	14.17	2	1	1.324
436.0	3	-0.2706	-0.416	-0.2194	16	7	2.23	3	0	1.391
440.0	3	0.2794	0.2506	-0.0694	22	18	-13.4	4	0	1.111
444.0	3	0.3294	-0.0827	0.0306	26	19	-11.37	3	0	1.62
448.0	3	0.3794	0.2506	-0.0194	24	20	-15.33	3	0	1.39
452.0	3	-0.3206	0.584	0.2306	34	6	22.2	2	1	1.247
460.0	3	0.1794	-0.0827	-0.0194	24	16	-7.47	4	0	1.9969999999999999
468.0	3	-0.3206	-0.0827	-0.0694	22	6	10.2	3	0	1.85
474.0	3	-0.2706	-0.416	-0.3194	12	7	-1.77	3	0	1.655
