onset	duration	parametric loss	distance from indifference	parametric gain	gain	loss	PTval	respnum	respcat	response_time
0.0	3	0.1273	-0.0814	-0.139	20	15	-32.84	4	0	2.419
4.0	3	-0.0227	-0.4147	-0.189	18	12	-24.27	4	0	1.358
8.0	3	0.1273	0.2519	-0.389	10	15	-42.84	4	0	1.462
18.0	3	0.1773	-0.0814	0.211	34	16	-22.36	2	1	2.189
24.0	3	-0.3727	-0.0814	-0.189	18	5	0.39	1	1	2.582
28.0	3	0.0273	-0.4147	0.011	26	13	-19.8	3	0	2.823
38.0	3	0.2273	-0.0814	0.161	32	17	-27.89	4	0	1.3659999999999999
42.0	3	-0.3727	-0.4147	-0.239	16	5	-1.61	2	1	1.5519999999999998
46.0	3	-0.2727	-0.0814	-0.089	22	7	-2.66	2	1	1.6119999999999999
52.0	3	-0.2227	0.5853	0.261	36	8	7.82	1	1	1.589
56.0	3	-0.1227	-0.0814	-0.239	16	10	-19.23	4	0	1.885
62.0	3	0.0273	-0.4147	0.111	30	13	-15.8	3	0	2.885
74.0	3	0.2273	0.5853	-0.289	14	17	-45.89	4	0	1.263
78.0	3	0.3273	-0.0814	0.061	28	19	-38.93	4	0	2.701
82.0	3	0.3773	0.5853	-0.289	14	20	-56.46	4	0	1.327
86.0	3	0.1773	-0.4147	0.011	26	16	-30.36	4	0	1.4480000000000002
90.0	3	-0.3727	0.5853	0.361	40	5	22.39	1	1	1.7919999999999998
94.0	3	-0.0227	-0.0814	0.061	28	12	-14.27	3	0	2.3680000000000003
98.0	3	0.1773	-0.0814	-0.139	20	16	-36.36	4	0	1.48
102.0	3	-0.3727	0.2519	0.011	26	5	8.39	2	1	2.448
106.0	3	0.3773	-0.0814	0.161	32	20	-38.46	4	0	1.296
110.0	3	0.2273	0.2519	-0.189	18	17	-41.89	4	0	1.24
116.0	3	-0.3227	-0.0814	-0.139	20	6	-1.14	2	1	2.8310000000000004
120.0	3	0.2773	0.2519	-0.139	20	18	-43.41	4	0	1.5530000000000002
126.0	3	-0.2727	0.5853	0.361	40	7	15.34	1	1	1.265
130.0	3	-0.3227	0.5853	0.261	36	6	14.86	1	1	1.369
134.0	3	0.3773	0.5853	-0.239	16	20	-54.46	4	0	1.4569999999999999
140.0	3	0.1273	-0.0814	0.361	40	15	-12.84	0	-1	0.0
148.0	3	-0.3227	-0.4147	-0.389	10	6	-11.14	3	0	0.001
156.0	3	0.1273	0.2519	-0.339	12	15	-40.84	4	0	1.297
160.0	3	0.2273	-0.4147	0.211	34	17	-25.89	4	0	2.079
164.0	3	0.0773	-0.0814	-0.189	18	14	-31.32	4	0	2.346
170.0	3	0.0273	-0.0814	0.361	40	13	-5.8	4	0	2.17
174.0	3	0.3273	-0.0814	0.161	32	19	-34.93	4	0	1.3219999999999998
178.0	3	-0.0227	-0.0814	-0.289	14	12	-28.27	4	0	1.258
