onset	duration	correct	condition	response_time
0.382	1	Y	incongruent	1.288
3.393	1	Y	congruent	0.702
6.394	1	Y	neutral	0.728
16.895	1	Y	neutral	0.807
19.899	1	Y	congruent	0.681
22.9	1	Y	congruent	0.557
27.401	1	Y	incongruent	0.934
31.903	1	Y	neutral	0.879
34.904	1	Y	congruent	0.716
37.905	1	Y	neutral	0.725
40.906	1	Y	neutral	0.841
54.407	1	Y	incongruent	0.803
64.912	1	N	neutral	0.619
67.915	1	Y	neutral	0.731
72.416	1	Y	neutral	0.652
81.418	1	N	incongruent	0.972
85.921	1	Y	incongruent	0.943
88.922	1	Y	incongruent	0.912
93.423	1	Y	incongruent	0.788
96.425	1	Y	neutral	0.812
99.426	1	Y	neutral	0.898
105.427	1	Y	congruent	0.761
108.429	1	Y	incongruent	0.938
112.93	1	Y	neutral	1.062
118.931	1	N	incongruent	1.060
123.433	1	Y	neutral	0.781
126.435	1	Y	congruent	0.695
130.936	1	Y	congruent	0.772
138.438	1	Y	neutral	0.824
141.44	1	Y	neutral	1.168
150.441	1	Y	incongruent	0.757
153.444	1	Y	incongruent	0.891
156.445	1	Y	congruent	0.775
159.446	1	Y	incongruent	0.854
163.947	1	N	congruent	0.000
166.949	1	Y	incongruent	1.213
172.95	1	Y	congruent	1.036
178.952	1	Y	congruent	0.777
181.954	1	Y	congruent	0.663
193.955	1	Y	congruent	0.769
196.959	1	Y	incongruent	0.726
207.46	1	Y	congruent	0.980
210.463	1	Y	neutral	0.717
213.464	1	Y	incongruent	0.946
216.465	1	Y	incongruent	0.757
219.466	1	Y	incongruent	0.651
223.967	1	Y	neutral	0.732
234.469	1	Y	neutral	0.829
237.472	1	Y	neutral	0.845
240.473	1	Y	neutral	0.662
243.474	1	Y	incongruent	0.651
246.475	1	Y	congruent	0.798
249.476	1	Y	incongruent	0.742
252.478	1	Y	incongruent	0.799
255.479	1	Y	incongruent	0.855
259.98	1	Y	congruent	1.001
273.481	1	Y	incongruent	0.892
279.486	1	Y	congruent	0.897
282.488	1	Y	neutral	0.716
285.489	1	Y	neutral	0.638
289.99	1	Y	incongruent	1.037
297.491	1	Y	neutral	0.722
303.494	1	Y	incongruent	0.888
306.496	1	Y	neutral	1.384
312.497	1	Y	congruent	0.785
315.499	1	Y	congruent	0.894
320	1	Y	congruent	0.902
323.001	1	Y	neutral	0.928
333.502	1	Y	incongruent	0.820
338.006	1	Y	congruent	0.712
342.507	1	Y	incongruent	0.755
345.509	1	Y	incongruent	0.726
348.51	1	Y	neutral	0.883
354.511	1	Y	neutral	1.016
359.013	1	Y	congruent	0.857
363.514	1	Y	congruent	0.568
366.516	1	Y	congruent	0.900
369.517	1	Y	congruent	0.927
372.518	1	Y	incongruent	0.823
375.519	1	N	neutral	0.822
378.52	1	Y	congruent	0.674
381.521	1	Y	congruent	1.015
384.522	1	Y	neutral	1.797
387.523	1	Y	congruent	0.738
390.524	1	Y	incongruent	0.722
395.025	1	Y	congruent	0.681
398.027	1	Y	neutral	0.860
402.528	1	Y	congruent	0.741
407.029	1	Y	incongruent	1.026
410.031	1	Y	congruent	0.922
413.032	1	Y	neutral	0.909
426.533	1	Y	neutral	0.971
429.537	1	Y	neutral	0.953
432.538	1	Y	congruent	0.674
435.539	1	Y	neutral	0.988
440.04	1	Y	neutral	0.895
444.542	1	N	neutral	0.800
447.543	1	Y	congruent	0.679
450.544	1	N	neutral	0.000
453.545	1	Y	neutral	0.671
456.546	1	Y	congruent	0.620
462.547	1	Y	neutral	1.760
465.549	1	Y	congruent	0.722
468.55	1	Y	incongruent	0.981
474.551	1	Y	congruent	0.804
477.553	1	Y	incongruent	0.843
480.554	1	Y	incongruent	1.007
488.055	1	Y	incongruent	1.742
494.058	1	Y	congruent	1.640
497.06	1	Y	neutral	0.777
500.061	1	Y	congruent	0.666
503.062	1	Y	incongruent	0.922
506.063	1	Y	incongruent	0.769
510.564	1	Y	neutral	1.098
513.566	1	Y	congruent	0.684
519.567	1	Y	congruent	1.112
522.569	1	Y	congruent	0.621
525.57	1	Y	congruent	0.795
528.571	1	Y	neutral	0.980
