onset	duration	correct	condition	response_time
0.396	1	Y	incongruent	0.971
3.409	1	Y	congruent	0.675
15.41	1	Y	congruent	0.641
19.914	1	Y	incongruent	0.712
28.916	1	Y	neutral	0.682
33.419	1	Y	incongruent	0.501
39.42	1	Y	neutral	0.549
43.922	1	Y	incongruent	0.543
46.924	1	Y	congruent	0.597
49.925	1	Y	congruent	0.528
52.926	1	Y	congruent	0.572
55.927	1	Y	incongruent	0.384
58.928	1	N	neutral	0.808
64.929	1	Y	incongruent	0.811
67.931	1	Y	neutral	0.560
85.932	1	Y	neutral	0.667
88.938	1	Y	congruent	0.649
93.439	1	Y	congruent	0.754
96.44	1	Y	neutral	0.698
99.441	1	Y	incongruent	0.922
102.442	1	Y	incongruent	0.451
105.443	1	Y	neutral	0.710
112.944	1	Y	incongruent	0.881
117.447	1	Y	incongruent	0.651
121.948	1	N	neutral	0.880
124.95	1	Y	neutral	0.925
127.951	1	Y	incongruent	0.747
132.452	1	Y	incongruent	0.975
136.953	1	Y	congruent	0.854
139.955	1	Y	congruent	0.548
142.956	1	Y	neutral	0.967
151.957	1	Y	congruent	0.849
157.96	1	Y	congruent	0.642
160.962	1	Y	incongruent	0.608
166.963	1	Y	congruent	0.739
169.965	1	Y	congruent	0.495
172.966	1	Y	incongruent	1.068
178.967	1	Y	congruent	0.461
181.969	1	Y	incongruent	0.835
184.97	1	N	incongruent	0.783
189.471	1	Y	congruent	0.872
192.472	1	Y	neutral	0.636
195.473	1	Y	neutral	0.535
199.974	1	Y	neutral	1.030
202.976	1	Y	neutral	0.649
207.477	1	Y	incongruent	0.683
210.478	1	Y	neutral	0.745
214.979	1	Y	neutral	0.595
219.481	1	Y	incongruent	0.502
222.482	1	Y	neutral	0.722
225.483	1	Y	neutral	0.506
235.984	1	Y	incongruent	0.942
238.988	1	Y	congruent	0.506
243.489	1	Y	neutral	0.552
246.49	1	Y	congruent	0.646
249.491	1	Y	neutral	0.948
252.492	1	Y	congruent	0.857
255.493	1	Y	congruent	0.621
259.994	1	Y	congruent	0.686
264.496	1	Y	incongruent	0.723
267.497	1	Y	congruent	0.524
270.498	1	Y	neutral	0.839
277.999	1	Y	neutral	0.944
284.002	1	Y	congruent	0.704
287.004	1	Y	neutral	1.131
291.505	1	Y	congruent	0.710
299.006	1	Y	neutral	0.679
303.509	1	Y	congruent	0.566
306.51	1	Y	incongruent	0.885
309.511	1	Y	incongruent	0.806
312.512	1	Y	incongruent	0.845
315.513	1	Y	congruent	0.628
323.014	1	Y	neutral	0.765
326.017	1	Y	neutral	0.726
330.518	1	Y	incongruent	0.723
333.519	1	Y	incongruent	0.712
336.52	1	Y	congruent	0.751
339.521	1	Y	neutral	0.795
345.522	1	N	incongruent	1.035
348.524	1	Y	congruent	0.594
353.025	1	N	congruent	0.560
362.027	1	Y	neutral	0.845
368.03	1	Y	congruent	0.823
371.032	1	Y	neutral	0.672
381.533	1	Y	congruent	1.009
384.537	1	Y	congruent	0.608
387.538	1	Y	neutral	0.632
392.038	1	Y	congruent	0.678
395.04	1	Y	neutral	0.744
398.041	1	Y	neutral	0.623
401.042	1	Y	neutral	0.970
404.043	1	Y	incongruent	0.821
407.044	1	Y	neutral	0.795
414.545	1	Y	incongruent	0.777
417.548	1	Y	neutral	0.841
420.549	1	N	congruent	0.000
423.55	1	N	congruent	0.000
426.551	1	Y	congruent	0.735
432.552	1	N	incongruent	0.686
437.054	1	Y	congruent	0.716
440.055	1	Y	incongruent	0.873
443.056	1	Y	incongruent	0.997
446.057	1	Y	neutral	1.076
449.058	1	Y	incongruent	0.575
453.559	1	Y	neutral	0.686
461.061	1	Y	neutral	0.617
468.563	1	Y	neutral	0.797
473.066	1	Y	neutral	0.903
479.067	1	Y	incongruent	0.803
491.069	1	Y	congruent	0.712
495.573	1	Y	congruent	0.773
503.075	1	Y	incongruent	1.009
507.577	1	Y	congruent	0.808
512.079	1	N	neutral	0.000
515.08	1	Y	congruent	0.807
521.081	1	N	congruent	0.000
524.083	1	Y	neutral	0.934
527.084	1	Y	incongruent	0.936
530.085	1	Y	congruent	0.560
