onset	duration	correct	condition	response_time
3.375	1	Y	congruent	0.558
9.383	1	Y	congruent	0.621
12.385	1	Y	incongruent	1.038
16.886	1	N	incongruent	0.862
19.888	1	Y	congruent	0.761
27.389	1	Y	neutral	0.873
30.391	1	Y	congruent	0.739
34.892	1	Y	congruent	0.737
40.894	1	Y	congruent	0.525
43.896	1	Y	incongruent	0.926
46.897	1	Y	neutral	0.808
49.898	1	N	incongruent	0.000
52.899	1	N	incongruent	0.966
55.9	1	Y	congruent	0.897
60.401	1	Y	neutral	0.475
63.402	1	Y	neutral	0.802
66.403	1	Y	neutral	0.666
81.404	1	Y	neutral	0.949
84.409	1	Y	incongruent	0.721
88.91	1	Y	congruent	0.675
96.412	1	Y	neutral	0.844
99.414	1	Y	neutral	0.753
102.415	1	Y	incongruent	0.787
105.416	1	Y	incongruent	0.644
108.417	1	Y	congruent	0.775
111.418	1	Y	congruent	0.687
114.419	1	Y	incongruent	0.766
118.92	1	Y	congruent	0.912
121.922	1	Y	neutral	0.731
124.923	1	Y	congruent	0.658
133.924	1	Y	congruent	0.541
138.427	1	Y	neutral	0.716
141.428	1	Y	neutral	0.688
144.429	1	Y	incongruent	0.822
148.93	1	Y	incongruent	0.658
151.932	1	Y	congruent	0.802
159.433	1	Y	neutral	0.834
166.935	1	Y	neutral	0.674
169.938	1	Y	neutral	0.720
174.439	1	Y	congruent	0.780
177.44	1	Y	incongruent	0.797
180.441	1	Y	congruent	0.731
183.442	1	Y	congruent	0.650
187.943	1	Y	neutral	0.760
192.445	1	Y	neutral	0.787
195.446	1	Y	congruent	0.621
198.447	1	Y	neutral	0.605
204.448	1	N	incongruent	0.805
208.95	1	Y	congruent	0.801
211.952	1	Y	neutral	0.795
217.953	1	Y	incongruent	0.898
229.955	1	Y	incongruent	1.027
232.959	1	Y	incongruent	0.831
238.96	1	Y	incongruent	0.824
243.462	1	Y	neutral	0.718
246.463	1	Y	incongruent	0.985
249.464	1	Y	incongruent	0.939
256.965	1	Y	incongruent	0.728
261.468	1	Y	incongruent	0.830
271.969	1	Y	neutral	0.839
277.973	1	Y	congruent	0.667
280.975	1	Y	neutral	0.701
288.476	1	Y	congruent	0.854
291.478	1	Y	congruent	0.673
297.479	1	Y	neutral	0.804
300.481	1	Y	neutral	0.698
303.482	1	Y	neutral	0.664
306.483	1	Y	congruent	0.686
309.484	1	Y	congruent	0.580
312.485	1	Y	congruent	0.599
316.986	1	Y	congruent	0.750
319.988	1	Y	neutral	0.709
322.989	1	Y	congruent	0.653
325.99	1	Y	incongruent	0.735
328.991	1	Y	neutral	0.656
334.992	1	Y	incongruent	0.782
337.994	1	Y	congruent	0.691
342.495	1	Y	neutral	0.715
345.496	1	Y	incongruent	1.246
348.498	1	Y	congruent	0.700
351.499	1	Y	neutral	0.684
354.499	1	Y	incongruent	0.763
357.501	1	Y	congruent	0.630
363.502	1	Y	incongruent	1.221
366.504	1	Y	neutral	0.700
369.505	1	Y	incongruent	1.039
372.506	1	Y	congruent	0.631
378.507	1	Y	neutral	0.761
383.009	1	Y	congruent	0.674
396.51	1	Y	neutral	0.755
404.015	1	Y	incongruent	0.732
408.517	1	Y	congruent	0.629
411.519	1	Y	neutral	0.754
416.02	1	Y	neutral	0.909
432.521	1	Y	congruent	0.777
440.027	1	Y	neutral	0.799
443.029	1	Y	incongruent	0.798
447.53	1	Y	neutral	0.704
456.532	1	Y	neutral	0.914
459.535	1	Y	neutral	0.694
462.536	1	Y	neutral	0.723
465.537	1	Y	incongruent	1.064
470.038	1	Y	incongruent	1.045
473.039	1	Y	neutral	0.676
476.04	1	Y	neutral	0.603
483.541	1	Y	incongruent	0.703
486.544	1	Y	incongruent	0.802
489.545	1	Y	neutral	0.669
492.546	1	Y	congruent	0.720
497.047	1	Y	neutral	0.778
501.548	1	Y	congruent	0.807
504.55	1	Y	congruent	0.611
507.551	1	Y	congruent	0.646
510.552	1	Y	congruent	0.740
515.053	1	N	incongruent	0.000
521.054	1	Y	incongruent	0.734
524.056	1	Y	incongruent	0.988
527.057	1	Y	congruent	0.599
533.058	1	Y	congruent	0.767
