onset	duration	correct	condition	response_time
0.374	1	Y	neutral	1.093
4.887	1	Y	neutral	1.111
7.889	1	Y	congruent	0.848
10.89	1	Y	congruent	0.722
18.391	1	Y	neutral	0.927
27.394	1	N	incongruent	0.820
36.397	1	Y	congruent	1.215
39.4	1	Y	neutral	0.654
46.901	1	Y	congruent	0.798
51.403	1	Y	neutral	0.795
55.905	1	Y	congruent	0.700
58.906	1	Y	incongruent	1.033
64.907	1	Y	congruent	0.811
69.409	1	Y	congruent	0.842
73.911	1	Y	incongruent	1.000
79.912	1	Y	congruent	0.851
82.914	1	Y	congruent	0.665
85.915	1	N	neutral	0.799
88.916	1	Y	incongruent	1.188
91.917	1	Y	congruent	0.674
96.418	1	Y	congruent	0.810
105.42	1	Y	incongruent	1.063
108.423	1	Y	congruent	0.769
111.424	1	Y	incongruent	1.003
114.425	1	Y	neutral	0.797
120.426	1	Y	neutral	0.918
124.928	1	Y	neutral	0.739
127.929	1	N	incongruent	0.898
130.93	1	Y	neutral	0.777
133.931	1	Y	neutral	0.736
136.933	1	Y	neutral	1.028
139.934	1	Y	congruent	0.755
144.435	1	Y	congruent	0.896
147.436	1	Y	incongruent	1.097
150.437	1	Y	neutral	0.956
154.938	1	N	incongruent	0.930
157.94	1	Y	congruent	0.802
160.941	1	Y	congruent	0.728
163.942	1	Y	neutral	0.777
166.943	1	Y	congruent	0.809
169.944	1	Y	neutral	0.648
172.945	1	Y	incongruent	0.839
175.946	1	Y	neutral	1.058
178.947	1	Y	congruent	0.997
187.948	1	Y	congruent	0.880
190.951	1	Y	incongruent	0.944
193.952	1	Y	incongruent	1.018
199.953	1	Y	neutral	0.809
205.955	1	Y	incongruent	0.982
208.957	1	N	neutral	0.718
211.958	1	Y	neutral	0.712
214.959	1	Y	congruent	0.778
217.96	1	Y	neutral	0.872
220.961	1	Y	congruent	0.954
223.962	1	Y	incongruent	0.796
226.963	1	Y	incongruent	0.965
229.964	1	Y	neutral	0.756
246.465	1	Y	neutral	0.911
255.47	1	Y	neutral	1.031
258.473	1	Y	incongruent	0.957
262.975	1	Y	incongruent	0.901
267.476	1	Y	congruent	0.870
271.978	1	Y	incongruent	0.966
274.979	1	Y	congruent	0.770
279.48	1	Y	neutral	0.649
285.482	1	N	incongruent	1.022
288.484	1	Y	congruent	0.746
294.485	1	Y	neutral	0.774
297.487	1	Y	incongruent	0.960
300.488	1	Y	neutral	0.723
303.489	1	Y	neutral	0.767
313.99	1	Y	congruent	0.943
318.493	1	Y	congruent	0.719
321.495	1	Y	congruent	0.868
325.996	1	Y	congruent	0.954
328.997	1	Y	congruent	0.765
349.998	1	Y	congruent	0.897
353.005	1	Y	neutral	0.791
356.006	1	Y	neutral	0.895
359.007	1	Y	neutral	0.901
366.508	1	Y	incongruent	1.021
369.511	1	Y	neutral	0.765
377.012	1	Y	neutral	0.813
389.015	1	Y	incongruent	1.127
392.019	1	Y	neutral	0.801
395.02	1	Y	incongruent	0.903
398.021	1	Y	congruent	0.777
402.522	1	N	incongruent	0.850
407.023	1	Y	incongruent	0.914
410.025	1	Y	neutral	0.993
416.026	1	Y	congruent	1.113
419.028	1	Y	incongruent	0.891
422.029	1	Y	incongruent	0.960
425.03	1	Y	incongruent	0.931
431.031	1	Y	congruent	0.857
435.533	1	N	neutral	0.917
441.534	1	Y	congruent	1.165
444.536	1	Y	neutral	0.754
449.037	1	Y	incongruent	0.911
452.039	1	Y	neutral	0.717
458.04	1	Y	congruent	0.760
462.542	1	Y	congruent	0.917
465.543	1	N	incongruent	0.958
468.544	1	Y	congruent	0.747
474.545	1	Y	congruent	0.738
477.547	1	Y	incongruent	0.914
483.548	1	Y	neutral	0.755
486.55	1	Y	congruent	0.769
491.051	1	Y	incongruent	0.949
497.053	1	Y	neutral	0.866
500.055	1	Y	incongruent	0.942
503.056	1	Y	congruent	0.911
506.057	1	Y	incongruent	0.963
509.058	1	Y	congruent	0.924
513.559	1	Y	incongruent	0.933
516.561	1	Y	incongruent	0.872
524.062	1	Y	neutral	0.997
531.564	1	Y	neutral	1.180
534.567	1	Y	congruent	0.974
