onset	duration	correct	condition	response_time
0.383	1	Y	neutral	0.863
3.39	1	Y	incongruent	0.655
6.391	1	Y	incongruent	0.656
9.392	1	Y	incongruent	0.450
12.393	1	Y	congruent	0.774
25.894	1	Y	congruent	0.826
28.898	1	Y	neutral	0.568
36.4	1	Y	neutral	0.820
39.402	1	Y	incongruent	1.016
43.903	1	Y	congruent	0.493
46.905	1	Y	congruent	0.554
55.906	1	Y	congruent	0.824
60.409	1	Y	incongruent	1.030
63.41	1	Y	incongruent	0.742
69.411	1	Y	incongruent	0.800
72.413	1	Y	incongruent	0.531
76.914	1	Y	incongruent	0.655
82.916	1	Y	neutral	0.616
85.918	1	Y	neutral	0.722
88.919	1	Y	incongruent	0.769
96.42	1	Y	neutral	0.728
100.922	1	Y	incongruent	0.658
103.924	1	Y	incongruent	0.515
106.925	1	Y	congruent	0.621
109.926	1	Y	neutral	0.639
114.427	1	Y	congruent	0.601
117.428	1	Y	neutral	0.710
121.929	1	Y	incongruent	0.665
127.931	1	Y	neutral	0.653
132.433	1	Y	neutral	0.545
135.434	1	Y	neutral	0.739
139.935	1	Y	neutral	0.674
142.937	1	N	incongruent	0.852
145.938	1	Y	incongruent	0.883
150.439	1	Y	congruent	0.765
154.941	1	Y	congruent	0.480
157.942	1	Y	incongruent	0.717
162.443	1	Y	congruent	0.673
165.445	1	Y	neutral	0.632
169.946	1	Y	congruent	0.553
172.947	1	Y	neutral	0.649
175.948	1	Y	neutral	0.588
178.949	1	Y	neutral	0.555
181.95	1	Y	congruent	0.536
184.951	1	Y	neutral	0.496
187.952	1	Y	incongruent	0.748
190.953	1	Y	incongruent	0.817
196.954	1	Y	congruent	0.710
201.456	1	Y	incongruent	0.664
207.458	1	Y	congruent	0.627
211.96	1	Y	neutral	0.655
214.961	1	Y	neutral	0.694
219.462	1	Y	congruent	0.643
222.464	1	Y	congruent	0.632
225.465	1	Y	congruent	0.449
229.966	1	Y	neutral	0.555
232.967	1	Y	incongruent	0.821
235.968	1	Y	neutral	0.533
244.969	1	Y	congruent	0.722
247.972	1	Y	congruent	0.631
253.973	1	Y	neutral	0.704
264.475	1	Y	neutral	0.618
267.479	1	Y	neutral	0.610
270.48	1	Y	incongruent	0.642
273.481	1	Y	congruent	0.551
276.482	1	Y	congruent	0.557
280.983	1	Y	neutral	0.604
283.985	1	Y	incongruent	0.648
291.486	1	Y	incongruent	1.192
294.488	1	Y	neutral	0.759
301.989	1	Y	neutral	0.812
304.992	1	Y	congruent	0.648
313.993	1	Y	incongruent	1.091
321.496	1	Y	incongruent	0.971
324.498	1	Y	incongruent	0.912
328.999	1	Y	congruent	0.561
332.001	1	Y	neutral	0.760
341.002	1	Y	neutral	0.492
348.505	1	Y	congruent	0.612
351.507	1	Y	congruent	0.692
357.508	1	Y	congruent	0.610
360.51	1	Y	congruent	0.679
363.511	1	N	incongruent	0.830
366.512	1	Y	neutral	0.642
378.513	1	Y	incongruent	1.233
381.517	1	Y	congruent	0.724
387.518	1	Y	neutral	0.890
392.02	1	Y	congruent	0.739
396.522	1	Y	congruent	0.705
402.524	1	Y	congruent	0.591
407.026	1	Y	congruent	0.934
410.027	1	Y	incongruent	0.775
414.528	1	Y	incongruent	0.862
417.53	1	Y	congruent	0.718
422.031	1	Y	congruent	0.686
426.532	1	Y	neutral	0.830
429.534	1	Y	congruent	0.747
432.535	1	Y	incongruent	0.619
435.536	1	Y	congruent	0.681
440.037	1	Y	congruent	0.569
443.038	1	Y	neutral	0.675
449.039	1	Y	neutral	0.638
456.541	1	Y	congruent	0.629
459.544	1	Y	neutral	0.668
462.545	1	Y	incongruent	1.042
465.546	1	Y	neutral	0.558
468.547	1	Y	neutral	0.755
471.548	1	Y	incongruent	0.975
477.549	1	Y	neutral	0.704
480.551	1	Y	congruent	0.706
483.552	1	Y	neutral	0.797
494.053	1	Y	neutral	0.737
501.556	1	Y	neutral	0.724
504.559	1	Y	congruent	0.655
507.56	1	Y	incongruent	0.974
513.561	1	Y	neutral	0.661
516.563	1	Y	congruent	0.577
524.064	1	Y	incongruent	0.990
527.067	1	Y	congruent	0.827
