onset	duration	correct	condition	response_time
0.342	1	Y	neutral	1.186
3.345	1	Y	congruent	0.667
12.346	1	Y	congruent	0.614
15.349	1	Y	neutral	0.696
18.35	1	Y	neutral	0.752
21.351	1	Y	incongruent	0.864
24.352	1	Y	congruent	0.793
27.353	1	Y	neutral	0.662
31.854	1	Y	neutral	0.715
34.855	1	Y	incongruent	0.792
43.856	1	Y	neutral	0.739
46.859	1	Y	congruent	1.028
49.86	1	Y	incongruent	0.785
52.861	1	Y	congruent	0.789
55.862	1	N	neutral	0.898
58.863	1	Y	neutral	0.907
66.364	1	Y	incongruent	1.055
69.367	1	Y	incongruent	0.654
81.368	1	Y	incongruent	0.662
84.372	1	Y	incongruent	0.661
90.373	1	N	neutral	0.847
94.875	1	Y	neutral	0.811
99.376	1	Y	congruent	0.801
106.878	1	Y	incongruent	0.737
112.88	1	Y	congruent	1.007
118.882	1	Y	neutral	1.016
121.885	1	Y	neutral	0.745
126.386	1	Y	congruent	0.923
141.387	1	Y	congruent	0.938
144.392	1	Y	neutral	0.747
148.893	1	Y	incongruent	1.106
151.895	1	Y	incongruent	1.191
154.896	1	Y	congruent	0.670
157.897	1	Y	congruent	0.967
162.398	1	Y	neutral	0.835
165.399	1	Y	neutral	0.796
171.4	1	Y	congruent	0.889
174.402	1	Y	congruent	0.788
177.403	1	Y	congruent	0.627
180.404	1	N	incongruent	0.926
183.405	1	N	neutral	0.778
189.406	1	Y	neutral	0.823
196.908	1	Y	neutral	0.702
202.911	1	Y	neutral	0.622
205.913	1	Y	incongruent	1.036
210.414	1	Y	incongruent	0.552
213.415	1	Y	neutral	0.891
216.416	1	Y	incongruent	0.853
219.417	1	Y	congruent	1.052
223.918	1	Y	congruent	0.637
234.42	1	Y	congruent	0.918
237.424	1	Y	incongruent	0.924
241.924	1	Y	neutral	0.835
244.926	1	Y	neutral	0.709
249.427	1	Y	incongruent	0.825
252.429	1	Y	congruent	0.727
255.43	1	Y	congruent	0.743
265.931	1	N	incongruent	0.000
274.934	1	Y	congruent	0.697
277.937	1	Y	congruent	0.689
282.438	1	Y	incongruent	0.870
289.94	1	Y	congruent	0.695
294.442	1	Y	neutral	0.851
297.444	1	Y	incongruent	1.148
303.445	1	Y	neutral	0.921
306.447	1	Y	incongruent	1.230
309.448	1	Y	congruent	0.804
312.449	1	Y	incongruent	0.985
321.45	1	Y	incongruent	1.022
327.453	1	N	neutral	0.895
336.455	1	Y	neutral	0.695
339.458	1	Y	congruent	0.931
342.459	1	Y	incongruent	1.093
346.96	1	Y	neutral	0.744
349.961	1	Y	congruent	0.953
352.962	1	Y	congruent	0.923
355.963	1	Y	incongruent	1.127
361.964	1	Y	neutral	0.873
369.467	1	Y	incongruent	0.945
379.969	1	Y	incongruent	1.219
382.973	1	Y	incongruent	1.078
387.474	1	Y	neutral	0.691
390.475	1	Y	neutral	0.808
393.476	1	Y	congruent	0.935
397.977	1	Y	neutral	0.752
405.479	1	Y	congruent	0.801
408.481	1	Y	neutral	1.000
412.982	1	Y	incongruent	0.692
418.984	1	Y	neutral	0.832
421.986	1	N	incongruent	0.974
424.987	1	Y	congruent	0.768
427.988	1	Y	congruent	0.624
433.989	1	Y	incongruent	1.036
436.991	1	Y	congruent	0.761
439.992	1	Y	congruent	0.635
442.993	1	N	incongruent	0.922
448.994	1	Y	congruent	0.780
451.996	1	Y	congruent	0.694
457.997	1	Y	incongruent	0.979
460.999	1	Y	congruent	0.911
464	1	Y	congruent	0.787
467.001	1	Y	congruent	0.841
470.002	1	Y	neutral	0.878
473.003	1	Y	neutral	0.714
476.004	1	Y	congruent	0.869
479.005	1	Y	neutral	0.801
482.006	1	Y	neutral	1.050
486.507	1	Y	neutral	1.031
489.509	1	N	incongruent	1.048
492.51	1	Y	neutral	0.792
495.511	1	Y	incongruent	1.158
498.512	1	Y	congruent	0.757
504.513	1	Y	neutral	0.910
509.015	1	Y	congruent	0.666
512.016	1	Y	neutral	1.067
515.017	1	N	incongruent	0.000
524.018	1	Y	neutral	1.089
527.021	1	Y	congruent	0.653
530.022	1	Y	congruent	0.642
533.023	1	Y	incongruent	0.961
