onset	duration	correct	condition	response_time
3.396	1	Y	neutral	0.888
6.399	1	Y	congruent	0.597
15.4	1	Y	incongruent	1.428
24.403	1	N	neutral	0.870
27.406	1	N	incongruent	0.000
30.407	1	Y	neutral	0.888
33.408	1	N	incongruent	0.742
36.409	1	Y	congruent	1.511
39.41	1	Y	incongruent	0.717
42.411	1	Y	neutral	0.564
49.912	1	Y	incongruent	1.102
52.915	1	Y	incongruent	0.836
55.916	1	Y	incongruent	0.802
63.417	1	Y	neutral	0.478
66.42	1	Y	neutral	0.777
69.421	1	Y	congruent	1.133
72.422	1	Y	incongruent	0.957
76.923	1	Y	congruent	0.833
84.424	1	Y	congruent	0.773
87.427	1	N	neutral	1.005
91.928	1	Y	congruent	0.954
97.929	1	Y	incongruent	1.212
102.431	1	Y	neutral	0.801
105.433	1	Y	neutral	0.647
108.434	1	Y	neutral	0.734
112.935	1	Y	congruent	0.862
115.936	1	Y	neutral	0.638
120.437	1	Y	incongruent	1.212
124.939	1	Y	congruent	0.793
129.44	1	Y	neutral	0.927
132.442	1	Y	congruent	0.792
135.443	1	Y	incongruent	1.087
144.444	1	Y	neutral	0.942
147.447	1	Y	congruent	0.756
150.448	1	Y	congruent	0.827
153.449	1	Y	congruent	0.774
157.95	1	Y	congruent	0.655
160.951	1	Y	incongruent	1.009
163.952	1	Y	incongruent	0.993
171.453	1	Y	incongruent	0.786
178.956	1	Y	neutral	0.987
184.959	1	Y	congruent	0.682
187.961	1	N	incongruent	0.000
190.962	1	Y	incongruent	0.898
195.463	1	Y	neutral	0.668
198.464	1	Y	congruent	0.685
202.965	1	Y	congruent	0.896
205.967	1	Y	congruent	1.760
211.968	1	Y	neutral	0.827
220.97	1	Y	congruent	0.776
226.973	1	Y	incongruent	0.952
229.975	1	Y	congruent	0.706
232.976	1	N	congruent	0.000
235.977	1	Y	congruent	0.804
241.978	1	Y	incongruent	0.934
244.98	1	Y	congruent	1.258
247.981	1	N	neutral	0.000
250.982	1	Y	congruent	0.638
256.983	1	Y	congruent	1.449
262.985	1	Y	congruent	0.635
265.987	1	Y	incongruent	1.339
270.488	1	Y	neutral	1.908
279.489	1	N	neutral	0.635
285.492	1	Y	congruent	1.358
292.994	1	Y	neutral	1.236
295.997	1	N	incongruent	0.812
301.998	1	N	incongruent	1.570
305	1	N	incongruent	0.000
309.501	1	Y	congruent	0.871
315.503	1	Y	neutral	1.356
320.005	1	N	congruent	0.000
326.006	1	N	incongruent	1.027
329.008	1	N	incongruent	0.000
332.009	1	N	incongruent	0.000
335.01	1	N	incongruent	0.880
338.011	1	Y	congruent	0.869
341.012	1	Y	neutral	0.778
347.013	1	Y	neutral	1.006
350.015	1	N	incongruent	0.000
353.016	1	Y	incongruent	0.917
362.017	1	N	neutral	0.000
365.02	1	Y	neutral	0.998
368.021	1	Y	incongruent	1.199
371.022	1	Y	neutral	1.051
374.023	1	Y	congruent	0.716
380.024	1	Y	congruent	1.789
384.526	1	N	neutral	0.000
389.028	1	Y	neutral	0.858
398.029	1	N	neutral	0.000
407.032	1	N	congruent	0.727
410.035	1	Y	congruent	0.629
414.536	1	Y	neutral	1.310
417.538	1	N	congruent	0.000
420.539	1	N	congruent	0.000
423.54	1	Y	incongruent	1.082
426.541	1	Y	neutral	1.164
429.542	1	Y	congruent	0.725
432.543	1	N	incongruent	0.000
435.544	1	Y	congruent	0.756
441.545	1	Y	neutral	0.919
444.547	1	N	incongruent	0.000
450.548	1	N	neutral	0.000
458.05	1	Y	congruent	0.717
461.053	1	Y	incongruent	0.889
468.554	1	Y	congruent	1.043
471.556	1	N	neutral	0.000
474.557	1	Y	neutral	1.371
482.058	1	Y	neutral	0.852
486.561	1	N	neutral	0.000
491.062	1	Y	neutral	1.170
494.064	1	N	neutral	0.000
498.565	1	Y	neutral	0.774
504.566	1	Y	congruent	1.225
507.568	1	N	congruent	0.000
512.069	1	Y	neutral	0.922
515.071	1	N	neutral	0.000
519.572	1	N	incongruent	0.000
525.573	1	Y	incongruent	1.208
528.575	1	Y	incongruent	0.987
